Note: 0 - TIME INITIATED:0 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 91 - TIME INITIATED:137 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 92 - TIME INITIATED:138 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 93 - TIME INITIATED:139 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 94 - TIME INITIATED:139 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 95 - TIME INITIATED:139 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 96 - TIME INITIATED:139 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 97 - TIME INITIATED:141 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 98 - TIME INITIATED:142 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 99 - TIME INITIATED:145 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 100 - TIME INITIATED:147 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 101 - TIME INITIATED:150 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 102 - TIME INITIATED:150 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 103 - TIME INITIATED:152 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 104 - TIME INITIATED:154 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 105 - TIME INITIATED:156 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 106 - TIME INITIATED:156 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 107 - TIME INITIATED:159 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 108 - TIME INITIATED:159 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 109 - TIME INITIATED:160 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 110 - TIME INITIATED:161 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 111 - TIME INITIATED:162 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 112 - TIME INITIATED:163 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 113 - TIME INITIATED:164 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 114 - TIME INITIATED:165 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 115 - TIME INITIATED:165 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 116 - TIME INITIATED:167 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 117 - TIME INITIATED:167 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 118 - TIME INITIATED:167 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 119 - TIME INITIATED:168 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 120 - TIME INITIATED:170 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 121 - TIME INITIATED:173 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 122 - TIME INITIATED:176 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 123 - TIME INITIATED:179 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 124 - TIME INITIATED:180 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 125 - TIME INITIATED:181 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 126 - TIME INITIATED:181 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 127 - TIME INITIATED:181 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 128 - TIME INITIATED:182 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 129 - TIME INITIATED:182 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 130 - TIME INITIATED:185 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 131 - TIME INITIATED:186 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 132 - TIME INITIATED:189 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 133 - TIME INITIATED:189 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 134 - TIME INITIATED:190 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 135 - TIME INITIATED:190 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 136 - TIME INITIATED:193 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 137 - TIME INITIATED:196 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
